const,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,2.2978069565991,13.2378982432178,9.33621609876944,55.4,2.35,0.108,0.748,23.661,44.654315277746,43.2587026475636,0.7,72.0,73.0,22.2,5.2,4.3
1.0,8240.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,93.0997559157322,99.5586639196019,100.0,2.35,0.394,2.16,81.125,1.60865374337322,92.6768424325138,0.4,98.0,98.0,2.5,30.1,4.3
1.0,660.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,16.4096569958993,20.1,2.35,0.023,0.202,17.232,59.1736143290551,30.3541425963808,0.2,81.0,86.0,13.3,7.7,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,96.6287648090298,100.0,100.0,2.35,0.394,2.16,64.76,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.4,19.55,4.3
1.0,95900.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,96.7000018583182,99.8998758338064,100.0,4.44,0.394,2.16,74.327,4.74880946988912,89.5529243677502,0.2,96.0,96.0,2.5,25.5,4.3
1.0,54160.0,20.200000000000003,40.1,6208.64453125,95.12889642097434,94.83025645727861,4.056111670985595,98.8963233865813,99.9723671174221,100.0,2.35,5.508,2.16,59.819,3.5699786156552,90.9847050700664,0.4,90.0,85.0,2.5,24.9,4.3
1.0,4650.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,5.45616637544294,62.1917137502586,97.9278644978324,100.0,2.35,0.394,2.16,17.42,10.3658660641934,81.751376205632,0.4,85.0,85.0,5.4,22.5,4.3
1.0,2080.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,93.0437426301311,81.3,2.35,0.394,2.16,26.488,23.3994420494799,66.8316987763344,0.1,78.0,87.0,19.4,36.9,4.3
1.0,13440.0,38.1,42.4,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,93.0437426301311,100.0,3.34,4.082,4.354,92.579,17.5964944783087,76.6944625404959,0.4,82.0,75.0,3.2,23.8,4.3
1.0,23660.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,3.55593188106322,81.94279215408704,98.0924623115578,100.0,2.35,2.965,2.16,31.548,12.9005007432283,82.790270878622,1.0,88.0,94.0,3.5,7.0,4.3
1.0,1430.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,50.6017785742925,70.5288132588719,95.6,2.35,0.394,2.16,38.365,33.1479592293348,59.8558675161075,0.2,86.0,87.0,20.7,18.9,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,99.1085439775738,100.0,2.35,0.394,2.16,96.314,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.4,19.55,4.3
1.0,46280.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,100.0,100.0,100.0,2.66,3.574,11.74,87.091,4.35473043131918,89.6018985474786,0.1,89.0,89.0,2.5,12.2,4.3
1.0,48870.0,20.200000000000003,40.1,3654.07470703,95.12889642097434,94.83025645727861,4.056111670985595,90.640001490064,100.0,100.0,2.35,0.394,2.16,87.747,12.3367929690456,77.859990559681,0.4,98.0,98.0,5.4,36.3,4.3
1.0,53340.0,20.200000000000003,40.1,6112.01953125,95.12889642097434,94.83025645727861,4.056111670985595,99.0397292852425,98.5883581968614,100.0,2.35,2.497,10.31,81.98,4.77225226729925,89.8086329490656,0.4,92.0,92.0,2.5,12.0,4.3
1.0,83660.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,97.468388745246,99.631610907923,100.0,2.35,0.394,11.88,83.515,5.3020598009239,88.1449804799197,0.4,92.0,94.0,2.5,24.3,4.3
