country,iso3_code,region,income_level,latitude,longitude,crude_death_rate,total_population,population_65_plus_pct,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
Guatemala,GTM,LCN,UMC,15.5,-90.25,4.829,18406359.0,4.84933494994855,5780.0,,,,78.4599990844727,82.1100006103516,,56.293305047255,69.6217278990742,100.0,0.44,,,53.542,22.3097034591438,61.5661164563163,0.2,90.0,81.0,12.6,11.9,
Guam,GUM,EAS,HIC,,,6.868,167777.0,12.6021445132527,,,,,,,,99.059791733307,90.3765791487569,100.0,,,,95.24,,,,,,,,
Guyana,GUY,LCN,HIC,,,7.32,831087.0,6.73491868776595,20220.0,,,,,,,,90.9892074094146,98.9,2.59,,,27.316,17.4113260046723,69.648005383792,1.6,99.0,98.0,2.5,11.1,
"Hong Kong SAR, China",HKG,EAS,HIC,,,7.3,7524100.0,22.6671478593232,57100.0,,,,,,3.80804991722107,100.0,96.5041739894552,100.0,,,,100.0,,,,,,2.5,,
Honduras,HND,LCN,LMC,15.0,-86.5,4.478,10825703.0,4.41772213694935,3020.0,62.9,45.7,,88.7799987792969,88.25,,65.2067969400954,84.3969913717355,95.6,0.66,,,60.818,10.683423692717,71.4312565119184,0.2,79.0,75.0,20.4,12.3,
Croatia,HRV,ECS,HIC,45.0,16.0,13.3,3866300.0,23.1877713482095,22080.0,,,,,,,,,100.0,,,,58.945,3.3963940810779,91.5384707848712,0.1,90.0,92.0,2.5,37.0,
Haiti,HTI,LCN,LMC,19.0,-72.4,7.817,11772557.0,4.70521824612954,1760.0,,,,,,,,37.475878862445,51.3,4.77,,,60.472,24.6562332642119,64.7169351587221,1.6,77.0,60.0,50.4,8.1,
Hungary,HUN,ECS,HIC,47.0,20.0,13.4,9562314.0,20.9931972318078,20690.0,,,1407.48730469,,,,100.0,97.9787370092362,100.0,6.84,,,73.179,1.97689691169873,93.8859147873012,,99.0,99.0,2.5,32.2,
Indonesia,IDN,EAS,UMC,-5.0,120.0,7.531,283487931.0,7.28860130431549,4910.0,9.0,34.9,,,,,30.2661667151466,88.156880601993,99.4,1.36,0.69,4.173,59.204,18.9256595520418,76.3264256879934,0.4,85.0,78.0,7.2,38.2,
Isle of Man,IMN,ECS,HIC,,,10.476,84160.0,23.1527854516073,,,,,,,,99.7098313889755,100.0,100.0,,,,53.708,,,,,,,,
